ツイートID,ツイートされた時間(日本時間),配信前ツイート,ぽえーむ
1609459417484853252,2023-01-01_17:00:02,"本日22時からは🌟

🎍ゆびをふる大会 大抽選会🎍

みなさんあけおめ✨✨
1/2開催のゆびをふる大会の抽選会を行うぺこおおおおおおおおおおおおおおおおおおお！！！！！

誰が誰と戦うのか…
ワクワクしながらやっていこう😉

▽待機所▽
https://t.co/4AGjFte5g8 https://t.co/aaC7oveo62","2023年！兎年！
幸運女は誰なのか。明日決まる。
決め方はただ一つ。
指を振る。それのみ。
指を振って今年の幸運女を決めようじゃないの！
16名の女たちによる熱い運試し大会が明日くる！
今日は、その抽選会をしようと思うぺこ～～！ "
1609449024087797760,2023-01-01_16:18:44,"このあと19時より…

#全人類兎化計画 を遂行する‼️

ぺーこぺこぺこぺこぺこぺこ！！！！！ぺーこぺこぺこぺこ！！！！！！！！！ぺーこぺこぺこぺこぺこぺこぺこぺこぺぺこぺこぺこ！！！！！！！！！！！！

▽待機所▽
https://t.co/Qci1yecypV https://t.co/Rk1jEKZXa1",
1609170185294053377,2022-12-31_21:50:43,"このあと22時50分からは🌟

🎍大晦日まったり年越し🎍

年末も色々達成できたし
まったりメン限でうどんでも食べようと思うぺこ☺️

年越しするぞ～～～！！！！！

▽待機所▽
https://t.co/OfLcFlZDS6 https://t.co/nyxbUXKMYY",
1609036629821227008,2022-12-31_13:00:01,"このあと17時からは🌟

🟣ポケモンSV マスボ級いく配信🟣

12時間目～現在ハイパボール級
あと少し！！！！！！！！！！！！！

新兵器も育ててきた✌️

必ずやマスボ級を達成して
みんなと年越しぺこ🐰‼️‼️‼️‼️

▽待機所▽
https://t.co/pxbjBYJSJB https://t.co/nnrA71NZD0","今年があと数時間後に終わる？！
いやいやちょっとまってよおお！！！まだマスボにいけてないぺこなんですど！！！
これはまずい…
新兵器をもってして勝負するしかないみたいぺこ。
来年はいい年になるように、必ずいくぞ！！！！！！
とりあえず、よいお年を～！ "
1608722722959536128,2022-12-30_16:12:40,"このあと17時からは🌟

🟣ポケモンSV ランクマ マスボ級いく配信🟣

初心者だってマスボ級行きたい💪

年末年始だし特別なことしたいぺこだよな！！！！！！！！！！！😉✨

ぺこーらは本気やで！！！！！！！！

▽待機所▽
https://t.co/LpRWo7ZWcz https://t.co/zk1WX1bYOA","ポケモンマスターにはなったけど、ランクにはいったことがない。
なに？！ぺこーらよりもめちゃめちゃ強いやつがいるだって？
マスターボール級が一番上のランクぺこなんだ。
ならば2022年はマスボ級で終わりたいぺこだよね？
何時間かかるかはわからない。けど、行きたい。
マスボ級の景色を見たい！ "
1608344403067940866,2022-12-29_15:09:21,"このあと19時からは🌟

🎰年末GOD耐久：アナザーゴッドハーデス🎰

今日はまず早めの来店！
新年迎えるまでに必ず【GOD】引くぞおおおおおおおおおおおおおおおおおお💪

1/8192を求めて挑戦ぺこ‼️

▽待機所▽
https://t.co/dUCgcKB777 https://t.co/9SCNj1WEof","今日こそGODを引きたい！！！！
少しずつ分かってきたハーデス
欲深くいかなければきっとくる。
物欲を捨てます、兎田ぺこら。
2022年はもう何も望みません。
本当です。もう来年でいいです。
なのでお願いします。頼みます！！！
今日もスロット生活すたーと！！！！ "
1608050015007801345,2022-12-28_19:39:34,"RT @usadapekora: このあと20時からは🌟

🎰年末GOD耐久：アナザーゴッドハーデス🎰

今年最後にやり残したこと…
１／８１９２【GOD】を引くぺこ‼️

新年明けるまでに絶対引いてみせる💪

みんな準備はいいぺこか！？

▽待機所▽
https://t.co…",
1608011257462034432,2022-12-28_17:05:33,"このあと20時からは🌟

🎰年末GOD耐久：アナザーゴッドハーデス🎰

今年最後にやり残したこと…
１／８１９２【GOD】を引くぺこ‼️

新年明けるまでに絶対引いてみせる💪

みんな準備はいいぺこか！？

▽待機所▽
https://t.co/O5dSRxXssg https://t.co/av0vMt9epl","最近、運がなかった。
けど、最後の最後でGODを引くという豪運をみせるんだよね？！ぺこーら！！
はい、今日のために1年間運を使わず過ごしてきました。ぜひ、みんなも一緒にGOD引くまでやろうよ！！！
誰が一番はやくGODを引けるのか勝負や！
年末も激熱～～～～～でいくぺこおおおおお！！！！！！ "
1607624947819495425,2022-12-27_15:30:30,"このあと20時からは🌟

🏆 Fate/Grand Order 🏆

本日 第七特異点バビロニア最終回‼️

前回は怒涛に次ぐ怒涛の展開すぎた…

いくら心をえぐられても
人類悪には負けねぇぺこだぞ！！💪

タノシイ タノシイ タノシイ タノシイ！！！！！！！！！！！！！！！！！

▽待機所▽
https://t.co/tIpH2KjOFB https://t.co/TJO1u5Qdgr","ついに最終回、バビロニア。
今思えばいろいろなことがあったな。
人を疑うことってだめだね。
知らない間に相手を傷つけてることもあるよね。
こわいな。人間の感情って怖いな。
ぺこーらは決めたの。
優しいウサギになるって。
もうだれも傷つかないでほしい。ぺこーらが犠牲になるから… "
1607302392126799874,2022-12-26_18:08:47,"このあと21時からは

🔴企画告知＆ポケモン勝負🔴

兎田ぺこら、企画をやります！！！
その告知をさせてくれぺこ‼️

メンバーと日程も発表🫶

そしてなにやら運営さんから謎のファイルが…
みんなで見てみよう！！！！！

▽待機所▽
https://t.co/elYOnAUuPx https://t.co/QQi8nZ9C4X","どんだけこいつ告知すんねん！！！
12月に入ってから何回目だと思ってんねん！！！！
楽しいことうれしいことがたくさんあるのはいいことペコですよね？
今回の企画告知もみんながきっと喜んでくれると思います・・！
なので、何卒楽しみにしていただけると嬉しいぺこ
年末年始は君を眠らせない！！！ "
1606937919809363969,2022-12-25_18:00:30,"このあと24時からは🌟

🎁 ほろシチュAmongUs ⛄

クリスマスの夜に酔っぱっぴ～☺️

今日はフルスロットルや！！！
始まる前にガッツリ飲酒しとくぺこだぜ👊

▽待機所▽
https://t.co/jdOPeghp53 https://t.co/LYFID0mV88","クリスマスはまだ終わらないぺこだよね！！？？！
久しぶりのアモアスなのにお酒のむの？！
まじかよ！幾億年ぶりにやっちゃりますか！！！！！
IKZ！！！！！！！！！ "
1606907594869719040,2022-12-25_16:00:00,"このあと22時20分からは🌟

🎄#ホロクリスマス歌枠リレー🎄

クリスマスに久しぶりのお歌
（有馬記念で声が枯れてないといいな🎶）

楽しく歌うぺこ🎅‼️

▽待機所▽
https://t.co/iU4l6JTAeg https://t.co/QedKPgS6ex",
1606877686529687553,2022-12-25_14:01:09,"RT @usadapekora: このあと14時30分からは🌟

🏇 有馬記念2022 🏇

大勝するにはリスクが伴う。
今年もお仕事がんばりました💪

年末最後の大勝負
予算は○○万‼️ぶっこむぞ‼️

▽待機所▽
https://t.co/wQJznyszNX https:…",
1606802031938772993,2022-12-25_09:00:32,"このあと14時30分からは🌟

🏇 有馬記念2022 🏇

大勝するにはリスクが伴う。
今年もお仕事がんばりました💪

年末最後の大勝負
予算は○○万‼️ぶっこむぞ‼️

▽待機所▽
https://t.co/wQJznyszNX https://t.co/iNFE2EekMF","ずっと負けっぱなしの競馬…
今年こそは勝ちたい。

買ってみんなで美味しい焼肉屋にいこうよ！！！！
みんなはどの馬を選んだの？

ぺこーらは…まだ内緒。
とりあえず負けたら当分節約します。

みんなで勝とう！有馬記念！！！！！！ "
1606129972610879490,2022-12-23_12:30:00,"このあと21時からは🌟

🎀Fate/stay night［HF］同時視聴🎀

本日、第3章 最終回🐰

ぺこちゃん おおハマりのHFも最後😭
結末を知れて嬉しいような
名残惜しいような…

いや完全に名残惜しい。

みんな観るぞ‼️‼️‼️‼️‼️‼️‼️‼️

▽待機所▽
https://t.co/iX80vjPEVH https://t.co/5GGapIg8CS","桜…大丈夫か…？いや、大丈夫じゃないよね。
お前を救いたい。
救えるのかどうかわからないけど、この気持ちは嘘偽りない。
本当に好きなんだ…桜…
頼む、もう一度かわいいあの笑顔を見してくれ…
桜だけの正義の味方になるから…お願い… "
1606122425913073665,2022-12-23_12:00:01,"このあと20時からは🌟

👾グルーヴコースター👾

グルーヴコースターに兎田ぺこら実装きｔら‼️

ホロライブの曲もたくさん収録されてるから楽しんじゃおうぺこ！！！

配信であまり音ゲーをやってこなかった
ぺこーらの実力やいかに😳

▽待機所▽
https://t.co/jXr6F7BP1C https://t.co/sZs2AReePD","ついに兎田ぺこらがグルーブコースターに登場！！！！！！！！
アイドルとして音ゲー好きなみんなをナビゲート！！
今日は一人で遊んだり、みんなとオンラインプレイをして遊んでみようと思うぺこ！！！！！

ぺこーらのリズム感についてこれるかな？
れっつぐるーぶこーすたあああああああああ！！！ "
1605110755082240002,2022-12-20_17:00:00,"このあと21時からは🌟

🏆 Fate/Grand Order 🏆

冥界を乗り越え！
エレちゃんも協力してくれることに！

今日はもう
絶ッッッ対ゴルゴーンとの決戦‼️

物語がどんどん盛り上がってくるぺこおおおおおおおおおおおおおおおおおおおおおおおお！！！！！！！！

▽待機所▽
https://t.co/ufQDPpRnkC https://t.co/7e45jRPjnq","まじで、沼りかけそうだったけど実質無料でオベロンも光のコヤンスカヤもきたよ！！
これで今後はもっと戦いやすくなるはずぺこ！！！
いやぁ途中のグロさはすごかったけどやっぱり思えば来る！
そういうことだよね？
はぁ、もう今年はおなかいっぱいです。来年また欲しいサーヴァントがくるといいな "
1605046582507982848,2022-12-20_12:45:00,"このあと20時からは🌟

🏆 FGO オベロンPUガチャ 🏆

止まらないピックアップ…
助けて！助けてくれぺこ！！！

でもずっと待っていた
オベロンは引きたいぺこだよなぁ‼️

そしてぬるっとPUされてる光のコヤンスカヤはどうする！！！！！！！！！！

▽待機所▽
https://t.co/YEyVeqLMNQ https://t.co/6RWCKs3vLv","shadowBANです！！！
みなさんぺこーらのツイートに気が付いてください！！！！！！！
お願いします！！私はここにいます！！！！
見えませんか？見えますか？
気づいてください、私の存在に。
もう一人ぼっちはいやだよ…
だれかきづいてよ…

気づいた人はこの配信で待ってます。 "
